rowNumber,supplierNombreSistema,sucursalNombre,montoPagado,fechaPagoOriginal,formaPagoOriginal,errors
"2","Casalta (Porta hermanos)","Cocina","127344","46038","MP","formaPago es obligatoria cuando montoPagado > 0"
"10","Pollo","Cocina","345000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"13","Kyo","Calle 13","99395","46024","MP","formaPago es obligatoria cuando montoPagado > 0"
"21","Pollo","Cocina","135000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"31","Pollo","Cocina","280000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"42","La serenisima","Calle 13","265677","46030","MP","formaPago es obligatoria cuando montoPagado > 0"
"48","Pollo","Cocina","348000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"51","Kyo","Calle 59","84955","46031","MP","formaPago es obligatoria cuando montoPagado > 0"
"67","Pollo","Cocina","240000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"78","Verduleria","Cocina","111400","46030","efectivo p2","formaPago es obligatoria cuando montoPagado > 0"
"79","Pollo","Cocina","105000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"85","Kyo","Calle 50","40340","46031","MP","formaPago es obligatoria cuando montoPagado > 0"
"88","Kyo","Calle 13","53418","46031","MP","formaPago es obligatoria cuando montoPagado > 0"
"112","Pollo","Cocina","135000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"124","La serenisima","Calle 13","58178","46037","MP","formaPago es obligatoria cuando montoPagado > 0"
"125","La serenisima","Calle 13","126852","46037","MP","formaPago es obligatoria cuando montoPagado > 0"
"138","Pollo","Cocina","324000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"150","Kyo","Calle 59","126866","46038","MP","formaPago es obligatoria cuando montoPagado > 0"
"164","La abejita feliz","Calle 59","153900","efectivo","46036","fechaPago es obligatoria cuando montoPagado > 0 | formaPago es obligatoria cuando montoPagado > 0"
"181","Pollo","Cocina","318000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"199","Kyo","Calle 13","92410","46038","MP","formaPago es obligatoria cuando montoPagado > 0"
"225","Pollo","Cocina","138000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"228","Kyo","Calle 50","60910","46038","MP","formaPago es obligatoria cuando montoPagado > 0"
"245","Pollo","Cocina","148500","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"246","Balducci (paltas)","Cocina","70000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"268","Nini","Cocina","1282288","46041","BBVA crédito","formaPago es obligatoria cuando montoPagado > 0"
"275","Kyo","Calle 59","117984","46045","mp","formaPago es obligatoria cuando montoPagado > 0"
"276","Kyo","Calle 50","13840","46045","mp","formaPago es obligatoria cuando montoPagado > 0"
"333","Distribuidora vegana","Calle 59","144293","46045","mp","formaPago es obligatoria cuando montoPagado > 0"
"349","Kyo","Calle 50","77030","46045","mp","formaPago es obligatoria cuando montoPagado > 0"
"351","Conurbano sa","Calle 50","41671","46044","mp","formaPago es obligatoria cuando montoPagado > 0"
"353","Fast market","Cocina","15900","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"354","Papelera san martin","Cocina","77000","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"356","Verduleria","Cocina","151950","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"358","Dietetica cientifica","Calle 59","9284","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"359","Dietetica cientifica","Calle 59","48346","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"360","Byparalelas","Calle 59","11000","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"363","Cometa","Calle 13","20000","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"366","Dietetica cientifica","Calle 13","5358","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"367","Dietetica cientifica","Calle 13","41628","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"369","Conurbano sa","Calle 13","48919","46044","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"372","Verduleria","Cocina","206440","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"373","Nahuel Vidal","Calle 50","9466","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"374","El ceibo","Calle 50","53886","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"375","Giraflor","Calle 50","15000","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"379","Nahuel Vidal","Calle 59","119898","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"381","Panacity","Calle 59","148950","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"382","Vento fit ENVIO","Todas","38720","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"383","Cometa","Calle 50","20000","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"384","Cometa","Calle 59","20000","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"387","Fast market","Cocina","19708","46046","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"391","Omega","Calle 59","33000","46046","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"392","El ceibo","Calle 13","122691","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"395","Kyo","Calle 13","101270","46045","mp","formaPago es obligatoria cuando montoPagado > 0"
"397","Giraflor","Calle 13","15000","46045","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"401","Omega","Calle 13","22000","46046","efecitivo","formaPago es obligatoria cuando montoPagado > 0"
"425","Polibol","Cocina","220012","46048","mp","formaPago es obligatoria cuando montoPagado > 0"
"429","Kyo","Calle 59","270364","46052","MP","formaPago es obligatoria cuando montoPagado > 0"
"430","Kyo","Calle 50","10640","46052","MP","formaPago es obligatoria cuando montoPagado > 0"
"469","Reynaldo (La francia)","Calle 13","158080","46051","MP","formaPago es obligatoria cuando montoPagado > 0"
"482","Kyo","Calle 50","169086","46052","MP","formaPago es obligatoria cuando montoPagado > 0"
